Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2010083075480,23-Aug-10,8/8/2010 7:10,MDW,Midway International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2010083075481,23-Aug-10,8/4/2010 0:00,SLC,Salt Lake City International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010083175488,23-Aug-10,8/15/2010 13:52,DAL,Dallas Love Field,Southwest Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2010083175492,23-Aug-10,7/28/2010 6:00,LAX,Los Angeles International Airport ,American Airlines  ,Property Damage,Checked Baggage,Clothing; Cosmetics & Grooming; Food & Drink; Other,$0.00 ,Deny
2010083175498,23-Aug-10,6/26/2010 8:30,EVV,Evansville Regional Airport,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$21.79 ,Approve in Full
2010083175500,23-Aug-10,6/23/2010 16:00,MIA,Miami International Airport,Virgin Atlantic,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2010083175501,23-Aug-10,8/5/2010 0:00,MHT,Manchester Regional Airport,UAL  ,Property Damage,Checked Baggage,-,$0.00 ,Deny
2010083175503,23-Aug-10,7/25/2010 18:00,HNL,Honolulu International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010083175505,23-Aug-10,8/13/2010 0:00,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,-,$0.00 ,Deny
2010083175510,23-Aug-10,7/22/2010 0:00,MSY,New Orleans International,Delta Air Lines  ,Property Damage,Checkpoint,Cameras,$274.37 ,Settle
2010083175511,23-Aug-10,6/29/2010 19:00,HNL,Honolulu International Airport,Hawaiian Airlines  ,Property Damage,Checked Baggage,-,$300.00 ,Settle
2010083175512,23-Aug-10,4/23/2010 0:00,MIA,Miami International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2010083175513,23-Aug-10,7/31/2010 0:00,AMA,Rick Husband Amarillo International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010083175515,23-Aug-10,6/28/2010 0:00,GSP,Greenville-Spartanburg,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2010083175517,23-Aug-10,7/14/2010 23:00,GEG,Spokane International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,$0.00 ,Deny
2010083175518,23-Aug-10,8/9/2010 0:00,LAS,McCarran International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2010083175521,23-Aug-10,8/18/2010 13:40,RDU,Raleigh-Durham International,Southwest Airlines  ,Property Damage,Checkpoint,Jewelry & Watches,$57.00 ,Settle
2010083175522,23-Aug-10,8/13/2010 0:00,MSP,Minneapolis/ St.Paul International Airport,AirTran Airlines,Property Damage,Checkpoint,Personal Accessories,$0.00 ,Deny
2010083175525,23-Aug-10,7/26/2010 0:00,CLT,Charlotte/Douglas International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2010083175528,23-Aug-10,8/1/2010 13:00,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Audio/Video,$0.00 ,Deny
2010083175530,23-Aug-10,7/25/2010 5:40,ORF,Norfolk International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$9.99 ,Settle
2010100176558,23-Aug-10,9/2/2010 0:00,GRR,Gerald R. Ford International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010101877005,23-Aug-10,7/18/2010 0:00,MCO,Orlando International Airport,AirTran Airlines,Property Damage,Checked Baggage,Computer & Accessories,"$1,240.00 ",Approve in Full
2010083175487,24-Aug-10,7/29/2010 15:00,LAX,Los Angeles International Airport ,UAL  ,Property Damage,Checkpoint,Other,$730.00 ,Approve in Full
2010062573096,24-Aug-10,5/21/2010 15:00,LAX,Los Angeles International Airport ,Qantus Airways  ,Passenger Property Loss,Checked Baggage,Currency; Jewelry & Watches,$0.00 ,Deny
2010071573722,24-Aug-10,6/6/2010 0:00,MLU,Monroe Regional,American Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2010072474017,24-Aug-10,6/17/2010 0:00,FAI,Fairbanks International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010082475303,24-Aug-10,7/26/2010 0:00,DFW,Dallas-Fort Worth International Airport ,-,Property Damage,Checkpoint,Computer & Accessories,$755.00 ,Settle
2010082675362,24-Aug-10,7/29/2010 18:00,DEN,Denver International Airport ,British Airways  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2010082675366,24-Aug-10,7/31/2010 0:00,EWR,Newark International Airport,Continental Airlines  ,Passenger Property Loss,Checked Baggage,Clothing; Medical/Science,$0.00 ,Deny
2010082675374,24-Aug-10,8/14/2010 12:00,JAX,Jacksonville International,-,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010082675377,24-Aug-10,7/30/2010 0:00,CAK,Akron-Canton Regional,AirTran Airlines,Passenger Property Loss,Checked Baggage,Food & Drink,$44.00 ,Approve in Full
2010082675379,24-Aug-10,8/8/2010 19:05,MCO,Orlando International Airport,Jet Blue,Property Damage,Checked Baggage,Computer & Accessories,-,-
2010082775381,24-Aug-10,8/7/2010 18:00,SEA,Seattle-Tacoma International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,-,-
2010082775382,24-Aug-10,8/20/2010 0:00,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories; Other,$0.00 ,Deny
2010082775383,24-Aug-10,8/22/2010 14:11,BUF,Buffalo Niagara International,Jet Blue,Property Damage,Checked Baggage,Home Decor; Home Decor; Other,$0.00 ,Deny
2010082775384,24-Aug-10,8/11/2010 18:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$6.00 ,Approve in Full
2010082775385,24-Aug-10,8/21/2010 0:00,AZO,Kalamazoo/Battle Creek International,American Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2010082775386,24-Aug-10,5/27/2010 4:00,LGA,LaGuardia ,Delta Air Lines  ,Property Damage,Checkpoint,Jewelry & Watches,$202.50 ,Approve in Full
2010082775387,24-Aug-10,6/23/2010 18:00,JFK,John F. Kennedy International,Virgin America,Passenger Property Loss,Checkpoint,Baggage/Cases/Purses,$0.00 ,Deny
2010082775388,24-Aug-10,8/16/2010 0:00,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010082775389,24-Aug-10,8/17/2010 0:00,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010082775390,24-Aug-10,7/29/2010 12:43,PRC,Prescott Municipal,Great Lakes Airline,Property Damage,Checked Baggage,Home Decor,$17.27 ,Approve in Full
2010082775393,24-Aug-10,8/20/2010 7:00,CVG,Cincinnati/Northern Kentucky International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing,$6.39 ,Approve in Full
2010082775394,24-Aug-10,8/17/2010 0:00,SEA,Seattle-Tacoma International,American Airlines  ,Property Damage,Checked Baggage,Other,$0.00 ,Deny
2010082775395,24-Aug-10,8/10/2010 8:00,DCA,Ronald Reagan Washington National Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,-,-
2010082775397,24-Aug-10,8/20/2010 17:00,MEM,Memphis International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cameras; Hunting & Fishing Items; Medical/Science; Other; Tools & Home Improvement Supplies,$0.00 ,Deny
2010082775399,24-Aug-10,8/19/2010 12:35,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2010082775406,24-Aug-10,8/20/2010 0:00,PBI,Palm Beach International,American Airlines  ,Passenger Property Loss,Checkpoint,Clothing; Clothing,-,-
2012102297902,10-Sep-12,8/29/2012 15:10,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Other,-,-
